,production,hour
1184,13574.175,8
1185,42573.207,9
1186,66479.478,10
1187,81981.247,11
1188,86582.742,12
1189,80050.866,13
1190,62991.186,14
1191,36686.899,15
1192,7469.995,16
1193,0.0,17
1194,0.0,18
1195,0.0,19
1196,0.0,20
1197,0.0,21
1198,0.0,22
1199,0.0,23
1200,0.0,0
1201,0.0,1
1202,0.0,2
1203,0.0,3
1204,0.0,4
1205,0.0,5
1206,0.0,6
1207,0.0,7
1208,27803.4,8
1209,73403.448,9
1210,131491.192,10
1211,196042.38,11
1212,247380.087,12
1213,272957.246,13
1214,256168.991,14
1215,185686.25,15
1216,65682.39,16
1217,0.0,17
1218,0.0,18
1219,0.0,19
1220,0.0,20
1221,0.0,21
1222,0.0,22
1223,0.0,23
1224,0.0,0
1225,0.0,1
1226,0.0,2
1227,0.0,3
1228,0.0,4
1229,0.0,5
1230,0.0,6
1231,0.0,7
1232,16077.594,8
1233,45073.744,9
1234,86957.596,10
1235,126800.812,11
1236,155637.404,12
1237,126110.189,13
1238,82821.91,14
1239,38909.818,15
1240,33742.744,16
1241,0.0,17
1242,0.0,18
1243,0.0,19
1244,0.0,20
1245,0.0,21
1246,0.0,22
1247,0.0,23
1248,0.0,0
1249,0.0,1
1250,0.0,2
1251,0.0,3
1252,0.0,4
1253,0.0,5
1254,0.0,6
1255,0.0,7
1256,26952.078,8
1257,79142.686,9
1258,105217.773,10
1259,108458.37,11
1260,90721.28,12
1261,84383.857,13
1262,66758.687,14
1263,39907.855,15
1264,10920.445,16
1265,0.0,17
1266,0.0,18
1267,0.0,19
1268,0.0,20
1269,0.0,21
1270,0.0,22
1271,0.0,23
1272,0.0,0
1273,0.0,1
1274,0.0,2
1275,0.0,3
1276,0.0,4
1277,0.0,5
1278,0.0,6
1279,0.0,7
1280,29529.475,8
1281,82415.192,9
1282,124026.448,10
1283,153760.97,11
1284,163771.072,12
1285,133794.191,13
1286,89321.889,14
1287,42217.706,15
1288,11928.921,16
1289,0.0,17
1290,0.0,18
1291,0.0,19
1292,0.0,20
1293,0.0,21
1294,0.0,22
1295,0.0,23
1296,0.0,0
1297,0.0,1
1298,0.0,2
1299,0.0,3
1300,0.0,4
1301,0.0,5
1302,0.0,6
1303,0.0,7
1304,36265.606,8
1305,84756.482,9
1306,127737.74,10
1307,157309.1,11
1308,167827.501,12
1309,158926.573,13
1310,133171.982,14
1311,82925.754,15
1312,47591.681,16
1313,0.0,17
1314,0.0,18
1315,0.0,19
1316,0.0,20
1317,0.0,21
1318,0.0,22
1319,0.0,23
1320,0.0,0
1321,0.0,1
1322,0.0,2
1323,0.0,3
1324,0.0,4
1325,0.0,5
1326,0.0,6
1327,745.389,7
1328,30196.052,8
1329,86237.449,9
1330,128449.368,10
1331,156356.967,11
1332,166122.611,12
1333,157325.907,13
1334,129169.018,14
1335,82512.242,15
1336,23376.538,16
1337,0.0,17
1338,0.0,18
1339,0.0,19
1340,0.0,20
1341,0.0,21
1342,0.0,22
1343,0.0,23
1344,0.0,0
1345,0.0,1
1346,0.0,2
1347,0.0,3
1348,0.0,4
1349,0.0,5
1350,0.0,6
1351,0.0,7
1352,21846.16,8
1353,51322.337,9
1354,75586.87,10
1355,91602.588,11
1356,96000.623,12
1357,88720.275,13
1358,71164.644,14
1359,44563.213,15
1360,19635.778,16
1361,0.0,17
1362,0.0,18
1363,0.0,19
1364,0.0,20
1365,0.0,21
1366,0.0,22
1367,0.0,23
1368,0.0,0
1369,0.0,1
1370,0.0,2
1371,0.0,3
1372,0.0,4
1373,0.0,5
1374,0.0,6
1375,0.0,7
1376,23631.8,8
1377,53235.332,9
1378,78500.647,10
1379,93809.813,11
1380,98340.531,12
1381,91105.795,13
1382,73518.532,14
1383,46786.201,15
1384,15889.964,16
1385,0.0,17
1386,0.0,18
1387,0.0,19
1388,0.0,20
1389,0.0,21
1390,0.0,22
1391,0.0,23
1392,0.0,0
1393,0.0,1
1394,0.0,2
1395,0.0,3
1396,0.0,4
1397,0.0,5
1398,0.0,6
1399,0.0,7
1400,24327.096,8
1401,54460.364,9
1402,78752.605,10
1403,94870.029,11
1404,99417.056,12
1405,168082.62,13
1406,197521.504,14
1407,177380.7,15
1408,62659.273,16
1409,0.0,17
1410,0.0,18
1411,0.0,19
1412,0.0,20
1413,0.0,21
1414,0.0,22
1415,0.0,23
1416,0.0,0
1417,0.0,1
1418,0.0,2
1419,0.0,3
1420,0.0,4
1421,0.0,5
1422,0.0,6
1423,111.888,7
1424,38505.661,8
1425,91785.073,9
1426,131836.744,10
1427,161732.93,11
1428,174018.685,12
1429,140578.907,13
1430,95577.971,14
1431,48073.162,15
1432,17382.542,16
1433,0.0,17
1434,0.0,18
1435,0.0,19
1436,0.0,20
1437,0.0,21
1438,0.0,22
1439,0.0,23
1440,0.0,0
1441,0.0,1
1442,0.0,2
1443,0.0,3
1444,0.0,4
1445,0.0,5
1446,0.0,6
1447,5914.097,7
1448,45791.878,8
1449,96314.042,9
1450,183616.786,10
1451,280938.919,11
1452,354007.17,12
1453,356158.756,13
1454,299235.193,14
1455,214370.956,15
1456,93143.844,16
1457,1173.767,17
1458,0.0,18
1459,0.0,19
1460,0.0,20
1461,0.0,21
1462,0.0,22
1463,0.0,23
1464,0.0,0
1465,0.0,1
1466,0.0,2
1467,0.0,3
1468,0.0,4
1469,0.0,5
1470,0.0,6
1471,6497.361,7
1472,39708.188,8
1473,59309.197,9
1474,84804.067,10
1475,100421.463,11
1476,105246.054,12
1477,124800.269,13
1478,122425.448,14
1479,95635.665,15
1480,60333.935,16
1481,1656.328,17
1482,0.0,18
1483,0.0,19
1484,0.0,20
1485,0.0,21
1486,0.0,22
1487,0.0,23
1488,0.0,0
1489,0.0,1
1490,0.0,2
1491,0.0,3
1492,0.0,4
1493,0.0,5
1494,0.0,6
1495,4756.55,7
1496,49822.368,8
1497,102246.047,9
1498,145337.979,10
1499,174306.588,11
1500,183930.352,12
1501,174747.726,13
1502,144870.342,14
1503,98436.602,15
1504,78282.303,16
1505,3169.258,17
1506,0.0,18
1507,0.0,19
1508,0.0,20
1509,0.0,21
1510,0.0,22
1511,0.0,23
1512,0.0,0
1513,0.0,1
1514,0.0,2
1515,0.0,3
1516,0.0,4
1517,0.0,5
1518,0.0,6
1519,6519.503,7
1520,50084.045,8
1521,105665.033,9
1522,149708.4,10
1523,178023.025,11
1524,188163.38,12
1525,153394.442,13
1526,105743.368,14
1527,54854.523,15
1528,21921.741,16
1529,0.0,17
1530,0.0,18
1531,0.0,19
1532,0.0,20
1533,0.0,21
1534,0.0,22
1535,0.0,23
1536,0.0,0
1537,0.0,1
1538,0.0,2
1539,0.0,3
1540,0.0,4
1541,0.0,5
1542,0.0,6
1543,3127.215,7
1544,33259.102,8
1545,64482.16,9
1546,89755.055,10
1547,105071.782,11
1548,109629.634,12
1549,102443.205,13
1550,84058.92,14
1551,55659.941,15
1552,30390.985,16
1553,0.0,17
1554,0.0,18
1555,0.0,19
1556,0.0,20
1557,0.0,21
1558,0.0,22
1559,0.0,23
1560,0.0,0
1561,0.0,1
1562,0.0,2
1563,0.0,3
1564,0.0,4
1565,0.0,5
1566,0.0,6
1567,16699.71,7
1568,73365.758,8
1569,145604.878,9
1570,249302.532,10
1571,327183.862,11
1572,351821.913,12
1573,312565.332,13
1574,221425.238,14
1575,106478.013,15
1576,90066.321,16
1577,5363.557,17
1578,0.0,18
1579,0.0,19
1580,0.0,20
1581,0.0,21
1582,0.0,22
1583,0.0,23
1584,0.0,0
1585,0.0,1
1586,0.0,2
1587,0.0,3
1588,0.0,4
1589,0.0,5
1590,0.0,6
1591,19150.272,7
1592,63758.814,8
1593,151071.804,9
1594,261267.541,10
1595,352240.4,11
1596,404915.445,12
1597,413817.853,13
1598,375243.465,14
1599,285815.213,15
1600,148742.986,16
1601,7072.34,17
1602,0.0,18
1603,0.0,19
